transaction_id,user_id,amount,timestamp,merchant,category,location
TXN_004136,USER_031,185.17,2025-11-09 22:39:00,Starbucks,Shopping,"London, UK"
TXN_002886,USER_019,72.26,2025-11-09 22:45:00,Uber,Travel,"Marseille, FR"
TXN_004495,USER_031,43.38,2025-11-10 00:17:00,Netflix,Utilities,"New York, US"
TXN_004927,USER_005,9.83,2025-11-10 00:32:00,Hotels.com,Healthcare,"Berlin, DE"
TXN_004009,USER_032,1947.4485644313354,2025-11-10 02:31:00,Google Play,Other,"Beijing, CN"
TXN_000685,USER_031,106.88,2025-11-10 03:09:00,CVS,Entertainment,"Marseille, FR"
TXN_003633,USER_010,65.48,2025-11-10 03:56:00,Google Play,Fuel,"Marseille, FR"
TXN_004292,USER_046,17.57,2025-11-10 05:47:00,Google Play,Fuel,"Marseille, FR"
TXN_001879,USER_018,622.35,2025-11-10 06:30:00,Whole Foods,Shopping,"Lyon, FR"
TXN_004445,USER_035,41.27,2025-11-10 06:56:00,Hotels.com,Entertainment,"Paris, FR"
TXN_004468,USER_009,24.56,2025-11-10 07:05:00,Netflix,Food,"Paris, FR"
TXN_000756,USER_007,8.65,2025-11-10 07:20:00,Google Play,Fuel,"Amsterdam, NL"
TXN_000693,USER_047,114.12,2025-11-10 07:32:00,Whole Foods,Healthcare,"Amsterdam, NL"
TXN_000455,USER_017,23.09,2025-11-10 07:35:00,Shell Gas,Other,"Lyon, FR"
TXN_002074,USER_024,240.2,2025-11-10 08:01:00,Amazon,Travel,"Brussels, BE"
TXN_003559,USER_049,3968.918069647906,2025-11-10 08:12:00,Hertz,Transport,"Lyon, FR"
TXN_000871,USER_035,44.54,2025-11-10 08:28:00,Target,Entertainment,"New York, US"
TXN_003889,USER_003,12.29,2025-11-10 09:00:00,Amazon,Subscription,"Madrid, ES"
TXN_003890,USER_012,7.37,2025-11-10 09:11:00,Netflix,Travel,"Amsterdam, NL"
TXN_000699,USER_007,37.18,2025-11-10 09:51:00,Steam,Subscription,"Madrid, ES"
TXN_003660,USER_029,72.6,2025-11-10 09:59:00,Whole Foods,Transport,"Rome, IT"
TXN_003998,USER_040,8.83,2025-11-10 10:06:00,Apple Store,Subscription,"Berlin, DE"
TXN_001905,USER_048,7.26,2025-11-10 10:07:00,Walmart,Other,"Brussels, BE"
TXN_004153,USER_031,53.57,2025-11-10 10:33:00,Walmart,Shopping,"Marseille, FR"
TXN_002245,USER_047,7.52,2025-11-10 11:54:00,McDonalds,Fuel,"Amsterdam, NL"
TXN_003287,USER_026,84.84,2025-11-10 12:15:00,Walmart,Food,"Lagos, NG"
TXN_001698,USER_014,55.32,2025-11-10 13:00:00,Steam,Food,"London, UK"
TXN_003169,USER_007,34.68,2025-11-10 13:03:00,Spotify,Healthcare,"Amsterdam, NL"
TXN_003987,USER_002,14.04,2025-11-10 13:13:00,Hotels.com,Subscription,"Madrid, ES"
TXN_002606,USER_018,104.49,2025-11-10 13:14:00,Shell Gas,Shopping,"Madrid, ES"
TXN_004958,USER_044,10.24,2025-11-10 13:18:00,Hotels.com,Utilities,"Berlin, DE"
TXN_000834,USER_032,318.6,2025-11-10 13:21:00,Walmart,Fuel,"Madrid, ES"
TXN_003310,USER_013,59.35,2025-11-10 14:24:00,Google Play,Shopping,"Berlin, DE"
TXN_001737,USER_015,8.51,2025-11-10 14:28:00,Uber,Entertainment,"Rome, IT"
TXN_000939,USER_013,51.78,2025-11-10 14:33:00,Amazon,Other,"Brussels, BE"
TXN_FRAUD_34_0,USER_013,404.39443723601556,2025-11-10 14:33:00,Amazon,Other,"Brussels, BE"
TXN_FRAUD_34_1,USER_013,435.57981268429467,2025-11-10 14:38:00,Amazon,Other,"Brussels, BE"
TXN_FRAUD_34_2,USER_013,262.6184601852739,2025-11-10 14:43:00,Amazon,Other,"Brussels, BE"
TXN_004744,USER_048,33.31,2025-11-10 15:07:00,Hertz,Subscription,"Rome, IT"
TXN_003344,USER_037,7.83,2025-11-10 15:29:00,Shell Gas,Food,"Paris, FR"
TXN_001173,USER_013,38.28,2025-11-10 15:55:00,Amazon,Subscription,"Lyon, FR"
TXN_002535,USER_041,38.81,2025-11-10 16:07:00,Netflix,Fuel,"Berlin, DE"
TXN_000275,USER_008,11.6,2025-11-10 16:19:00,PayPal,Transport,"Marseille, FR"
TXN_004704,USER_029,26.94,2025-11-10 16:20:00,Hertz,Healthcare,"London, UK"
TXN_004587,USER_016,18.75,2025-11-10 16:42:00,PayPal,Entertainment,"London, UK"
TXN_000798,USER_016,45.56,2025-11-10 16:48:00,Target,Food,"Amsterdam, NL"
TXN_003365,USER_022,98.11,2025-11-10 17:18:00,Shell Gas,Transport,"Lyon, FR"
TXN_002293,USER_047,14.71,2025-11-10 17:39:00,Hotels.com,Other,"Lagos, NG"
TXN_003432,USER_034,27.8,2025-11-10 18:04:00,Netflix,Transport,"Brussels, BE"
TXN_004693,USER_036,15.37,2025-11-10 18:22:00,Uber,Other,"Paris, FR"
TXN_002973,USER_033,40.86,2025-11-10 18:53:00,McDonalds,Entertainment,"London, UK"
TXN_000190,USER_018,18.67,2025-11-10 19:06:00,Spotify,Other,"Amsterdam, NL"
TXN_001320,USER_027,36.34,2025-11-10 19:23:00,Uber,Entertainment,"Lyon, FR"
TXN_003053,USER_007,3.08,2025-11-10 19:42:00,Amazon,Other,"Paris, FR"
TXN_003692,USER_022,2378.585745065161,2025-11-11 01:24:00,Apple Store,Transport,"Moscow, RU"
TXN_004970,USER_028,13.45,2025-11-11 03:11:00,Walmart,Transport,"Brussels, BE"
TXN_000506,USER_041,54.07,2025-11-11 03:32:00,McDonalds,Food,"Rome, IT"
TXN_003937,USER_044,4210.486001733505,2025-11-11 03:48:00,Hotels.com,Utilities,"Lyon, FR"
TXN_001832,USER_046,15.75,2025-11-11 04:02:00,Amazon,Other,"Lyon, FR"
TXN_004048,USER_023,53.59,2025-11-11 04:07:00,CVS,Healthcare,"Marseille, FR"
