transaction_id,user_id,amount,timestamp,merchant,category,location
TXN_000798,USER_016,2428.515553581319,2025-11-10 04:48:00,Target,Food,"Beijing, CN"
TXN_001879,USER_018,622.35,2025-11-10 06:30:00,Whole Foods,Shopping,"Lyon, FR"
TXN_000756,USER_007,8.65,2025-11-10 07:20:00,Google Play,Fuel,"Amsterdam, NL"
TXN_000693,USER_047,114.12,2025-11-10 07:32:00,Whole Foods,Healthcare,"Amsterdam, NL"
TXN_000455,USER_017,23.09,2025-11-10 07:35:00,Shell Gas,Other,"Lyon, FR"
TXN_000871,USER_035,44.54,2025-11-10 08:28:00,Target,Entertainment,"New York, US"
TXN_000699,USER_007,37.18,2025-11-10 09:51:00,Steam,Subscription,"Madrid, ES"
TXN_001905,USER_048,7.26,2025-11-10 10:07:00,Walmart,Other,"Brussels, BE"
TXN_000685,USER_031,106.88,2025-11-10 10:09:00,CVS,Entertainment,"Marseille, FR"
TXN_FRAUD_7_0,USER_031,439.50059965052935,2025-11-10 10:09:00,CVS,Entertainment,"Marseille, FR"
TXN_FRAUD_7_1,USER_031,446.70900338484904,2025-11-10 10:14:00,CVS,Entertainment,"Marseille, FR"
TXN_FRAUD_7_2,USER_031,427.6041809897103,2025-11-10 10:19:00,CVS,Entertainment,"Marseille, FR"
TXN_001698,USER_014,55.32,2025-11-10 13:00:00,Steam,Food,"London, UK"
TXN_000834,USER_032,318.6,2025-11-10 13:21:00,Walmart,Fuel,"Madrid, ES"
TXN_001737,USER_015,8.51,2025-11-10 14:28:00,Uber,Entertainment,"Rome, IT"
TXN_000939,USER_013,51.78,2025-11-10 14:33:00,Amazon,Other,"Brussels, BE"
TXN_001173,USER_013,38.28,2025-11-10 15:55:00,Amazon,Subscription,"Lyon, FR"
TXN_000275,USER_008,11.6,2025-11-10 16:19:00,PayPal,Transport,"Marseille, FR"
TXN_000190,USER_018,18.67,2025-11-10 19:06:00,Spotify,Other,"Amsterdam, NL"
TXN_001320,USER_027,36.34,2025-11-10 19:23:00,Uber,Entertainment,"Lyon, FR"
TXN_001812,USER_043,2604.197265411787,2025-11-11 01:31:00,Netflix,Transport,"Beijing, CN"
TXN_000506,USER_041,54.07,2025-11-11 03:32:00,McDonalds,Food,"Lagos, NG"
TXN_001832,USER_046,15.75,2025-11-11 04:02:00,Amazon,Other,"Lyon, FR"
TXN_001998,USER_048,37.08,2025-11-11 07:15:00,Hotels.com,Utilities,"London, UK"
TXN_FRAUD_19_0,USER_048,121.63333803833055,2025-11-11 07:15:00,Hotels.com,Utilities,"London, UK"
TXN_FRAUD_19_1,USER_048,142.4039324007848,2025-11-11 07:20:00,Hotels.com,Utilities,"London, UK"
TXN_001908,USER_026,87.26,2025-11-11 07:22:00,Airbnb,Travel,"Marseille, FR"
TXN_FRAUD_19_2,USER_048,332.642829638035,2025-11-11 07:25:00,Hotels.com,Utilities,"London, UK"
TXN_001230,USER_038,49.74,2025-11-11 07:27:00,Delta Airlines,Healthcare,"Marseille, FR"
TXN_001624,USER_023,4383.1711405323595,2025-11-11 07:40:00,Netflix,Fuel,"Amsterdam, NL"
TXN_001132,USER_027,33.73,2025-11-11 07:47:00,Netflix,Healthcare,"New York, US"
TXN_001724,USER_007,14.43,2025-11-11 08:26:00,Target,Other,"New York, US"
TXN_000607,USER_037,16.34,2025-11-11 08:27:00,McDonalds,Subscription,"Berlin, DE"
TXN_000616,USER_034,15.17,2025-11-11 10:11:00,Apple Store,Transport,"Madrid, ES"
