transaction_id,user_id,amount,timestamp,merchant,category,location
TXN_000455,USER_017,23.09,2025-11-10 07:35:00,Shell Gas,Other,"Lyon, FR"
TXN_000275,USER_008,11.6,2025-11-10 16:19:00,PayPal,Transport,"Marseille, FR"
TXN_000190,USER_018,18.67,2025-11-10 19:06:00,Spotify,Other,"Amsterdam, NL"
TXN_000432,USER_003,70.78,2025-11-11 11:07:00,Whole Foods,Other,"Lyon, FR"
TXN_000112,USER_045,274.66,2025-11-12 05:42:00,Whole Foods,Healthcare,"Rome, IT"
TXN_000465,USER_040,17.8,2025-11-12 07:03:00,Shell Gas,Food,"Lyon, FR"
TXN_000280,USER_026,6.88,2025-11-12 12:08:00,McDonalds,Other,"Rome, IT"
TXN_000406,USER_031,218.02,2025-11-12 14:11:00,Apple Store,Food,"Madrid, ES"
TXN_000031,USER_032,25.83,2025-11-12 15:55:00,Google Play,Utilities,"New York, US"
TXN_000380,USER_041,28.32,2025-11-13 06:19:00,Hertz,Utilities,"London, UK"
TXN_000378,USER_003,34.33,2025-11-13 06:53:00,Walmart,Other,"London, UK"
TXN_000240,USER_043,2.45,2025-11-13 15:56:00,Amazon,Travel,"New York, US"
TXN_000003,USER_028,46.29,2025-11-14 02:49:00,Target,Entertainment,"New York, US"
TXN_000466,USER_039,16.14,2025-11-14 06:16:00,CVS,Shopping,"New York, US"
TXN_000196,USER_032,32.93,2025-11-14 09:56:00,Delta Airlines,Other,"Berlin, DE"
TXN_000430,USER_035,69.57,2025-11-14 14:46:00,McDonalds,Healthcare,"Marseille, FR"
TXN_000401,USER_033,4.69,2025-11-14 22:50:00,Walmart,Transport,"Berlin, DE"
TXN_000341,USER_013,281.07,2025-11-14 23:08:00,Spotify,Fuel,"Madrid, ES"
TXN_000086,USER_017,138.22,2025-11-15 08:33:00,PayPal,Shopping,"Brussels, BE"
TXN_000338,USER_009,90.26,2025-11-15 09:10:00,Hertz,Travel,"Marseille, FR"
TXN_000467,USER_048,18.26,2025-11-15 16:13:00,Airbnb,Entertainment,"Brussels, BE"
TXN_000048,USER_007,19.84,2025-11-16 06:29:00,Hertz,Shopping,"Lyon, FR"
TXN_000318,USER_017,2.28,2025-11-16 08:29:00,Hotels.com,Travel,"Brussels, BE"
TXN_000268,USER_006,36.43,2025-11-16 09:57:00,McDonalds,Other,"Paris, FR"
TXN_000214,USER_044,194.8,2025-11-16 10:46:00,CVS,Subscription,"London, UK"
TXN_000409,USER_047,21.81,2025-11-16 11:25:00,Hotels.com,Transport,"Brussels, BE"
TXN_000069,USER_017,13.06,2025-11-16 13:53:00,PayPal,Utilities,"Paris, FR"
TXN_000343,USER_023,44.71,2025-11-16 15:43:00,Apple Store,Utilities,"Lyon, FR"
TXN_000017,USER_050,9.72,2025-11-17 15:02:00,Walmart,Travel,"Madrid, ES"
TXN_000291,USER_038,13.89,2025-11-17 16:10:00,Delta Airlines,Food,"London, UK"
TXN_000111,USER_027,70.53,2025-11-17 18:01:00,PayPal,Healthcare,"Amsterdam, NL"
TXN_000468,USER_014,27.07,2025-11-17 18:56:00,Delta Airlines,Utilities,"New York, US"
TXN_000449,USER_008,143.71,2025-11-17 21:41:00,Hertz,Fuel,"New York, US"
TXN_000367,USER_006,723.36,2025-11-18 01:07:00,Steam,Subscription,"Brussels, BE"
TXN_000018,USER_018,1864.811841289323,2025-11-18 03:01:00,Whole Foods,Travel,"Moscow, RU"
